EXPERIMENT_NUMBER,DATASET,HIDDEN_LYR_SIZE,TRIGGER_TYPE,TARGET_LABEL,POISON_PERCENTAGE,TRIGGER_SIZE,TEST_ACCURACY,BD_TEST_ACCURACY
0,brats,500,badnet,0,5.0,"(4, 4)",0.7690355329949239,0.7647058823529411
0,brats,500,badnet,0,5.0,"(2, 2)",0.7461928934010152,0.9515570934256056
0,brats,500,badnet,0,2.0,"(4, 4)",0.7614213197969543,0.9480968858131488
0,brats,500,badnet,0,2.0,"(8, 8)",0.7741116751269036,0.7923875432525952
0,brats,500,badnet,0,2.0,"(2, 2)",0.7614213197969543,0.7231833910034602
0,brats,500,badnet,0,0.5,"(2, 2)",0.7436548223350253,0.2629757785467128
0,brats,500,badnet,0,1.0,"(2, 2)",0.7157360406091371,0.3079584775086505
0,brats,500,badnet,0,0.5,"(8, 8)",0.748730964467005,0.34256055363321797
0,brats,500,badnet,0,1.0,"(8, 8)",0.751269035532995,0.8062283737024222
0,brats,500,badnet,0,0.5,"(4, 4)",0.7538071065989848,0.4117647058823529
0,brats,500,badnet,0,1.0,"(4, 4)",0.7766497461928934,0.8027681660899654
0,brats,1000,badnet,0,5.0,"(4, 4)",0.6269035532994924,0.9550173010380623
0,brats,1000,badnet,0,5.0,"(2, 2)",0.6345177664974619,0.39792387543252594
0,brats,1000,badnet,0,2.0,"(4, 4)",0.6218274111675127,0.6262975778546713
0,brats,1000,badnet,0,2.0,"(8, 8)",0.7461928934010152,0.6920415224913494
0,brats,1000,badnet,0,0.5,"(2, 2)",0.6421319796954315,0.2629757785467128
0,brats,1000,badnet,0,0.5,"(8, 8)",0.7284263959390863,0.9307958477508651
0,brats,1000,badnet,0,2.0,"(2, 2)",0.631979695431472,0.3044982698961938
0,brats,1000,badnet,0,1.0,"(8, 8)",0.7157360406091371,0.9584775086505191
0,brats,1000,badnet,0,0.5,"(4, 4)",0.6294416243654822,0.4013840830449827
0,brats,1000,badnet,0,1.0,"(2, 2)",0.6421319796954315,0.28027681660899656
0,brats,1000,badnet,0,1.0,"(4, 4)",0.6345177664974619,0.46366782006920415
0,brats,2000,badnet,0,5.0,"(4, 4)",0.6472081218274112,0.7681660899653979
0,brats,2000,badnet,0,5.0,"(2, 2)",0.6548223350253807,0.3079584775086505
0,brats,2000,badnet,0,2.0,"(4, 4)",0.6446700507614214,0.44982698961937717
0,brats,2000,badnet,0,2.0,"(8, 8)",0.6548223350253807,0.5121107266435986
0,brats,2000,badnet,0,0.5,"(8, 8)",0.6624365482233503,0.33217993079584773
0,brats,2000,badnet,0,0.5,"(2, 2)",0.6598984771573604,0.23875432525951557
0,brats,2000,badnet,0,2.0,"(2, 2)",0.6548223350253807,0.28027681660899656
0,brats,2000,badnet,0,1.0,"(8, 8)",0.6522842639593909,0.41522491349480967
0,brats,2000,badnet,0,1.0,"(4, 4)",0.6675126903553299,0.3875432525951557
0,brats,2000,badnet,0,1.0,"(2, 2)",0.6598984771573604,0.2629757785467128
0,brats,2000,badnet,0,0.5,"(4, 4)",0.6624365482233503,0.3737024221453287
0,brats,5000,badnet,0,5.0,"(4, 4)",0.7131979695431472,0.2179930795847751
0,brats,5000,badnet,0,5.0,"(2, 2)",0.700507614213198,0.17647058823529413
0,brats,5000,badnet,0,2.0,"(4, 4)",0.7233502538071066,0.08996539792387544
0,brats,5000,badnet,0,2.0,"(8, 8)",0.7030456852791879,0.14186851211072665
0,brats,5000,badnet,0,2.0,"(2, 2)",0.7055837563451777,0.1695501730103806
0,brats,5000,badnet,0,0.5,"(2, 2)",0.7157360406091371,0.16608996539792387
0,brats,5000,badnet,0,0.5,"(8, 8)",0.7131979695431472,0.1314878892733564
0,brats,5000,badnet,0,1.0,"(8, 8)",0.7055837563451777,0.1384083044982699
0,brats,5000,badnet,0,0.5,"(4, 4)",0.7157360406091371,0.12802768166089964
0,brats,5000,badnet,0,1.0,"(2, 2)",0.7055837563451777,0.17647058823529413
0,brats,5000,badnet,0,1.0,"(4, 4)",0.7208121827411168,0.14186851211072665
0,brats,500,badnet,0,5.0,"(8, 8)",0.8045685279187818,0.9204152249134948
0,brats,1000,badnet,0,5.0,"(8, 8)",0.7538071065989848,0.889273356401384
0,brats,8000,badnet,0,5.0,"(4, 4)",0.7182741116751269,0.04152249134948097
