EXPERIMENT_NUMBER,ELM_TYPE,DATASET,HIDDEN_LYR_SIZE,TRIGGER_TYPE,TARGET_LABEL,POISON_PERCENTAGE,TRIGGER_SIZE,TEST_ACCURACY,BD_TEST_ACCURACY,TIME_ELAPSED
0,poelm,wbcd,500,badnet,0,5.0,"(4, 4)",0.9912280701754386,1.0,0.08732938766479492
0,poelm,wbcd,500,badnet,0,1.0,"(8, 8)",0.9912280701754386,0.9736842105263158,0.08671402931213379
0,poelm,wbcd,500,badnet,0,5.0,"(8, 8)",0.9912280701754386,1.0,0.09014415740966797
0,poelm,wbcd,500,badnet,0,2.0,"(4, 4)",0.9912280701754386,0.9912280701754386,0.08794999122619629
0,poelm,wbcd,500,badnet,0,0.5,"(8, 8)",0.9912280701754386,0.8508771929824561,0.0885167121887207
0,poelm,wbcd,500,badnet,0,0.5,"(2, 2)",0.9912280701754386,0.8508771929824561,0.0932927131652832
0,poelm,wbcd,500,badnet,0,2.0,"(8, 8)",0.9912280701754386,0.9912280701754386,0.09418916702270508
0,poelm,wbcd,500,badnet,0,1.0,"(2, 2)",0.9912280701754386,0.9736842105263158,0.0957798957824707
0,poelm,wbcd,500,badnet,0,2.0,"(2, 2)",0.9912280701754386,0.9912280701754386,0.12812042236328125
0,poelm,wbcd,500,badnet,0,0.5,"(4, 4)",0.9912280701754386,0.8508771929824561,0.12688136100769043
0,poelm,wbcd,500,badnet,0,1.0,"(4, 4)",0.9912280701754386,0.9736842105263158,0.12583374977111816
0,poelm,wbcd,500,badnet,0,5.0,"(2, 2)",0.9912280701754386,1.0,0.13569307327270508
0,poelm,wbcd,1000,badnet,0,5.0,"(8, 8)",0.9912280701754386,1.0,0.31767821311950684
0,poelm,wbcd,1000,badnet,0,2.0,"(4, 4)",0.9912280701754386,1.0,0.3150355815887451
0,poelm,wbcd,1000,badnet,0,1.0,"(8, 8)",0.9912280701754386,0.9824561403508771,0.32276463508605957
0,poelm,wbcd,1000,badnet,0,0.5,"(2, 2)",0.9824561403508771,0.9473684210526315,0.32416558265686035
0,poelm,wbcd,1000,badnet,0,5.0,"(4, 4)",0.9912280701754386,1.0,0.3378887176513672
0,poelm,wbcd,1000,badnet,0,2.0,"(8, 8)",0.9912280701754386,1.0,0.3279118537902832
0,poelm,wbcd,1000,badnet,0,1.0,"(2, 2)",0.9912280701754386,0.9824561403508771,0.33783793449401855
0,poelm,wbcd,1000,badnet,0,0.5,"(8, 8)",0.9824561403508771,0.9473684210526315,0.34771060943603516
0,poelm,wbcd,1000,badnet,0,0.5,"(4, 4)",0.9824561403508771,0.9473684210526315,0.3994712829589844
0,poelm,wbcd,1000,badnet,0,1.0,"(4, 4)",0.9912280701754386,0.9824561403508771,0.5163133144378662
0,poelm,wbcd,1000,badnet,0,5.0,"(2, 2)",0.9912280701754386,1.0,0.5201361179351807
0,poelm,wbcd,1000,badnet,0,2.0,"(2, 2)",0.9912280701754386,1.0,0.6516566276550293
0,poelm,wbcd,2000,badnet,0,5.0,"(8, 8)",1.0,1.0,3.0001466274261475
0,poelm,wbcd,2000,badnet,0,2.0,"(4, 4)",0.9912280701754386,1.0,3.1609365940093994
0,poelm,wbcd,2000,badnet,0,5.0,"(4, 4)",1.0,1.0,4.246473073959351
0,poelm,wbcd,2000,badnet,0,1.0,"(8, 8)",0.9912280701754386,0.9912280701754386,4.305863380432129
0,poelm,wbcd,2000,badnet,0,2.0,"(2, 2)",0.9912280701754386,1.0,3.6347758769989014
0,poelm,wbcd,2000,badnet,0,0.5,"(2, 2)",0.9912280701754386,0.956140350877193,4.856562376022339
0,poelm,wbcd,2000,badnet,0,2.0,"(8, 8)",0.9912280701754386,1.0,4.728840589523315
0,poelm,wbcd,2000,badnet,0,1.0,"(2, 2)",0.9912280701754386,0.9912280701754386,5.3418567180633545
0,poelm,wbcd,2000,badnet,0,5.0,"(2, 2)",1.0,1.0,5.101904392242432
0,poelm,wbcd,2000,badnet,0,0.5,"(4, 4)",0.9912280701754386,0.956140350877193,5.574696063995361
0,poelm,wbcd,2000,badnet,0,0.5,"(8, 8)",0.9912280701754386,0.956140350877193,5.614835500717163
0,poelm,wbcd,2000,badnet,0,1.0,"(4, 4)",0.9912280701754386,0.9912280701754386,5.427193641662598
0,poelm,wbcd,5000,badnet,0,5.0,"(8, 8)",1.0,1.0,45.80379939079285
0,poelm,wbcd,5000,badnet,0,2.0,"(2, 2)",0.9912280701754386,1.0,74.82479548454285
0,poelm,wbcd,5000,badnet,0,2.0,"(4, 4)",0.9912280701754386,1.0,76.22260355949402
