EXPERIMENT_NUMBER,ELM_TYPE,DATASET,HIDDEN_LYR_SIZE,TRIGGER_TYPE,TARGET_LABEL,POISON_PERCENTAGE,TRIGGER_SIZE,TEST_ACCURACY,BD_TEST_ACCURACY,TIME_ELAPSED
0,poelm,fmnist,1000,badnet,0,0.02,"(4, 4)",0.8303,0.025333333333333333,139.99785542488098
1,poelm,fmnist,1000,badnet,0,0.02,"(4, 4)",0.8303,0.025333333333333333,130.90214490890503
0,poelm,fmnist,1000,badnet,0,0.02,"(8, 8)",0.8308,0.19144444444444444,135.69867396354675
1,poelm,fmnist,1000,badnet,0,0.02,"(8, 8)",0.8308,0.19144444444444444,132.6521897315979
0,poelm,fmnist,1000,badnet,0,0.05,"(2, 2)",0.8306,0.028,140.7907271385193
1,poelm,fmnist,1000,badnet,0,0.05,"(2, 2)",0.8306,0.028,140.53954768180847
0,poelm,fmnist,1000,badnet,0,0.05,"(4, 4)",0.8305,0.04388888888888889,139.46405839920044
1,poelm,fmnist,1000,badnet,0,0.05,"(4, 4)",0.8305,0.04388888888888889,136.7871971130371
0,poelm,fmnist,1000,badnet,0,0.05,"(8, 8)",0.8305,0.40655555555555556,144.35746908187866
1,poelm,fmnist,1000,badnet,0,0.05,"(8, 8)",0.8305,0.40655555555555556,145.0465235710144
0,poelm,fmnist,1000,badnet,0,0.1,"(2, 2)",0.8306,0.034333333333333334,137.9227294921875
1,poelm,fmnist,1000,badnet,0,0.1,"(2, 2)",0.8306,0.034333333333333334,140.02672576904297
0,poelm,fmnist,1000,badnet,0,0.1,"(4, 4)",0.8312,0.09722222222222222,139.94716596603394
1,poelm,fmnist,1000,badnet,0,0.1,"(4, 4)",0.8312,0.09722222222222222,139.63524293899536
0,poelm,fmnist,1000,badnet,0,0.1,"(8, 8)",0.8309,0.698,129.1367700099945
1,poelm,fmnist,1000,badnet,0,0.1,"(8, 8)",0.8309,0.698,141.49444031715393
0,poelm,fmnist,1000,badnet,0,0.2,"(2, 2)",0.8311,0.051444444444444445,126.06260085105896
1,poelm,fmnist,1000,badnet,0,0.2,"(2, 2)",0.8311,0.051444444444444445,141.54212880134583
0,poelm,fmnist,1000,badnet,0,0.2,"(4, 4)",0.8314,0.2757777777777778,141.43245339393616
1,poelm,fmnist,1000,badnet,0,0.2,"(4, 4)",0.8314,0.2757777777777778,141.52305555343628
0,poelm,fmnist,1000,badnet,0,0.2,"(8, 8)",0.8307,0.8948888888888888,139.08152151107788
1,poelm,fmnist,1000,badnet,0,0.2,"(8, 8)",0.8307,0.8948888888888888,141.58390021324158
0,poelm,fmnist,1500,badnet,0,0.02,"(2, 2)",0.8414,0.02422222222222222,213.28094840049744
1,poelm,fmnist,1500,badnet,0,0.02,"(2, 2)",0.8414,0.02422222222222222,213.11906838417053
0,poelm,fmnist,1500,badnet,0,0.02,"(4, 4)",0.8413,0.030555555555555555,213.25657081604004
1,poelm,fmnist,1500,badnet,0,0.02,"(4, 4)",0.8413,0.030555555555555555,213.28627562522888
0,poelm,fmnist,1500,badnet,0,0.02,"(8, 8)",0.8409,0.1708888888888889,213.32307052612305
1,poelm,fmnist,1500,badnet,0,0.02,"(8, 8)",0.8409,0.1708888888888889,213.22564554214478
0,poelm,fmnist,1500,badnet,0,0.05,"(2, 2)",0.8415,0.030444444444444444,213.2725887298584
1,poelm,fmnist,1500,badnet,0,0.05,"(2, 2)",0.8415,0.030444444444444444,213.2191867828369
0,poelm,fmnist,1500,badnet,0,0.05,"(4, 4)",0.8413,0.06344444444444444,188.01407933235168
1,poelm,fmnist,1500,badnet,0,0.05,"(4, 4)",0.8413,0.06344444444444444,199.85553121566772
0,poelm,fmnist,1500,badnet,0,0.05,"(8, 8)",0.8411,0.49977777777777777,213.22837710380554
1,poelm,fmnist,1500,badnet,0,0.05,"(8, 8)",0.8411,0.49977777777777777,213.08325099945068
0,poelm,fmnist,1500,badnet,0,0.1,"(2, 2)",0.841,0.04211111111111111,213.13122940063477
1,poelm,fmnist,1500,badnet,0,0.1,"(2, 2)",0.841,0.04211111111111111,202.32061505317688
0,poelm,fmnist,1500,badnet,0,0.1,"(4, 4)",0.8416,0.15788888888888888,213.11458563804626
1,poelm,fmnist,1500,badnet,0,0.1,"(4, 4)",0.8416,0.15788888888888888,213.08172392845154
0,poelm,fmnist,1500,badnet,0,0.1,"(8, 8)",0.8408,0.7998888888888889,213.29440879821777
1,poelm,fmnist,1500,badnet,0,0.1,"(8, 8)",0.8408,0.7998888888888889,213.1897165775299
0,poelm,fmnist,1500,badnet,0,0.2,"(2, 2)",0.8405,0.07422222222222222,213.28298330307007
1,poelm,fmnist,1500,badnet,0,0.2,"(2, 2)",0.8405,0.07422222222222222,212.75043320655823
0,poelm,fmnist,1500,badnet,0,0.2,"(4, 4)",0.8413,0.4201111111111111,212.91207838058472
1,poelm,fmnist,1500,badnet,0,0.2,"(4, 4)",0.8413,0.4201111111111111,213.28418469429016
0,poelm,fmnist,1500,badnet,0,0.2,"(8, 8)",0.8405,0.9457777777777778,213.1563582420349
1,poelm,fmnist,1500,badnet,0,0.2,"(8, 8)",0.8405,0.9457777777777778,213.18410181999207
0,poelm,fmnist,2000,badnet,0,0.02,"(2, 2)",0.8464,0.020777777777777777,286.1174156665802
1,poelm,fmnist,2000,badnet,0,0.02,"(2, 2)",0.8464,0.020777777777777777,286.0099239349365
0,poelm,fmnist,2000,badnet,0,0.02,"(4, 4)",0.8463,0.036333333333333336,286.1039249897003
1,poelm,fmnist,2000,badnet,0,0.02,"(4, 4)",0.8463,0.036333333333333336,286.10382318496704
0,poelm,fmnist,2000,badnet,0,0.02,"(8, 8)",0.8462,0.25366666666666665,286.0411660671234
