EXPERIMENT_NUMBER,ELM_TYPE,DATASET,HIDDEN_LYR_SIZE,TEST_ACCURACY,TIME_ELAPSED
0,poelm,mnist,500,0.9019,35.38147568702698
0,poelm,mnist,1000,0.9325,68.27252292633057
0,poelm,mnist,2000,0.9503,144.9041290283203
0,poelm,mnist,5000,0.9657,502.3729672431946
0,poelm,mnist,8000,0.97,1076.6642565727234
0,mlelm,mnist,500,0.9240000000000004,9.145326375961304
0,mlelm,mnist,1000,0.9335000000000003,18.109410285949707
0,mlelm,mnist,2000,0.9442000000000003,53.2015278339386
0,mlelm,mnist,5000,0.9465000000000002,346.2599742412567
0,mlelm,mnist,8000,0.9493000000000003,1031.4474153518677
0,drop-elm,mnist,500,0.9063,83.59075832366943
0,drop-elm,mnist,1000,0.9308,167.76863718032837
0,drop-elm,mnist,2000,0.9511,342.2683939933777
0,drop-elm,mnist,5000,0.9675,981.0432851314545
0,drop-elm,mnist,8000,0.9723,4898.415450811386
0,telm,mnist,500,0.9239000000000003,8.342684507369995
0,telm,mnist,1000,0.9358000000000003,25.425692319869995
0,telm,mnist,2000,0.8079000000000002,92.7276759147644
0,telm,mnist,5000,0.4206000000000001,630.9725050926208
0,telm,mnist,8000,0.9603000000000003,1846.3386459350586
